"path","category","current_status","proposed_disposition","canonical_target","notes"
"docs/phase-1/evidence/production-privacy-release-probe-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/production-privacy-release-probe-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/production-schema-definitions-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/production-schema-definitions-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/production-supabase-inventory-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/production-supabase-inventory-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/staging-auth-configuration-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/staging-auth-configuration-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/staging-migration-application-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/staging-migration-application-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/staging-privacy-release-probe-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/staging-privacy-release-probe-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/staging-supabase-inventory-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/staging-supabase-inventory-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/evidence/staging-supabase-inventory-post-baseline-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-1/evidence/staging-supabase-inventory-post-baseline-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-1/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-1/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-1/supabase-inventory.sql","verification-artifact","historical-evidence","retain-in-place","docs/phase-1/supabase-inventory.sql","Reusable or historical probe; link from history map."
"docs/phase-1/supabase-schema-definition-inventory.sql","verification-artifact","historical-evidence","retain-in-place","docs/phase-1/supabase-schema-definition-inventory.sql","Reusable or historical probe; link from history map."
"docs/phase-2/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-2/README.md","Preserve; remove active continuation language."
"docs/phase-2/evidence/production-access-control-migration-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/production-access-control-migration-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/production-google-auth-inventory-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/production-google-auth-inventory-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/production-google-auth-tests-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/production-google-auth-tests-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/staging-access-control-migration-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/staging-access-control-migration-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/staging-google-auth-tests-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/staging-google-auth-tests-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/staging-google-provider-inventory-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/staging-google-provider-inventory-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/staging-preview-google-auth-tests-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/staging-preview-google-auth-tests-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/evidence/vercel-environment-separation-2026-07-31.json","immutable-evidence","historical-evidence","retain-in-place","docs/phase-2/evidence/vercel-environment-separation-2026-07-31.json","Dated evidence; never rewrite."
"docs/phase-2/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-2/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-3/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-3/README.md","Preserve; remove active continuation language."
"docs/phase-3/revised-course-structure.md","phase-or-pilot-history","historical","mark-historical","docs/phase-3/revised-course-structure.md","Preserve; remove active continuation language."
"docs/phase-4/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-4/README.md","Preserve; remove active continuation language."
"docs/phase-4/evidence/staging-verification-2026-07-31.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-4/evidence/staging-verification-2026-07-31.md","Dated evidence; never rewrite."
"docs/phase-4/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-4/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-5/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-5/README.md","Preserve; remove active continuation language."
"docs/phase-5/evidence/automated-verification-2026-08-02.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-5/evidence/automated-verification-2026-08-02.md","Dated evidence; never rewrite."
"docs/phase-5/evidence/manual-staging-verification-2026-08-02.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-5/evidence/manual-staging-verification-2026-08-02.md","Dated evidence; never rewrite."
"docs/phase-5/evidence/production-rollout-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-5/evidence/production-rollout-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-5/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-5/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-5/student-experience-foundation-plan.md","phase-or-pilot-history","historical","mark-historical","docs/phase-5/student-experience-foundation-plan.md","Preserve; remove active continuation language."
"docs/phase-5/student-experience-foundation.md","phase-or-pilot-history","historical","mark-historical","docs/phase-5/student-experience-foundation.md","Preserve; remove active continuation language."
"docs/phase-5/ui-state-and-content-matrix.md","phase-or-pilot-history","historical","mark-historical","docs/phase-5/ui-state-and-content-matrix.md","Preserve; remove active continuation language."
"docs/phase-6/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-6/README.md","Preserve; remove active continuation language."
"docs/phase-6/evidence/automated-verification-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-6/evidence/automated-verification-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-6/evidence/manual-staging-verification-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-6/evidence/manual-staging-verification-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-6/evidence/production-rollout-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-6/evidence/production-rollout-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-6/evidence/staging-migration-application-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-6/evidence/staging-migration-application-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-6/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-6/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-6/staging-privacy-probe.sql","verification-artifact","historical-evidence","retain-in-place","docs/phase-6/staging-privacy-probe.sql","Reusable or historical probe; link from history map."
"docs/phase-7/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-7/README.md","Preserve; remove active continuation language."
"docs/phase-7/evidence/automated-verification-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-7/evidence/automated-verification-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-7/evidence/manual-staging-verification-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-7/evidence/manual-staging-verification-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-7/evidence/production-rollout-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-7/evidence/production-rollout-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-7/evidence/staging-migration-application-2026-08-03.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-7/evidence/staging-migration-application-2026-08-03.md","Dated evidence; never rewrite."
"docs/phase-7/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-7/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-7/staging-authorization-probe.sql","verification-artifact","historical-evidence","retain-in-place","docs/phase-7/staging-authorization-probe.sql","Reusable or historical probe; link from history map."
"docs/phase-8/README.md","phase-or-pilot-history","historical","mark-historical","docs/phase-8/README.md","Preserve; remove active continuation language."
"docs/phase-8/evidence/operational-closeout-2026-08-10.md","immutable-evidence","historical-evidence","retain-in-place","docs/phase-8/evidence/operational-closeout-2026-08-10.md","Dated evidence; never rewrite."
"docs/phase-8/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/phase-8/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/phase-8/pilot-and-launch-plan.md","phase-or-pilot-history","historical","mark-historical","docs/phase-8/pilot-and-launch-plan.md","Preserve; remove active continuation language."
"docs/pilot-v1/acceptance-criteria.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v1/acceptance-criteria.md","Preserve; remove active continuation language."
"docs/pilot-v1/evidence/phase-4-preview-route-lifecycle-2026-08-11.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-4-preview-route-lifecycle-2026-08-11.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/phase-4-staging-migration-and-authorization-2026-08-11.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-4-staging-migration-and-authorization-2026-08-11.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/phase-5-staging-session-resource-lifecycle-2026-08-13.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-5-staging-session-resource-lifecycle-2026-08-13.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/phase-6-integrated-verification-2026-08-13.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-6-integrated-verification-2026-08-13.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/phase-6-logo-amendment-verification-2026-08-13.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-6-logo-amendment-verification-2026-08-13.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/phase-7-staging-acceptance-2026-08-13.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/phase-7-staging-acceptance-2026-08-13.md","Dated evidence; never rewrite."
"docs/pilot-v1/evidence/production-rollout-2026-08-13.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v1/evidence/production-rollout-2026-08-13.md","Dated evidence; never rewrite."
"docs/pilot-v1/implementation-plan.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v1/implementation-plan.md","Preserve; remove active continuation language."
"docs/pilot-v1/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v1/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/pilot-v1/phase-0-readiness.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v1/phase-0-readiness.md","Preserve; remove active continuation language."
"docs/pilot-v1/phase-4-staging-authorization-probe.sql","verification-artifact","historical-evidence","retain-in-place","docs/pilot-v1/phase-4-staging-authorization-probe.sql","Reusable or historical probe; link from history map."
"docs/pilot-v1/production-read-only-verification.sql","verification-artifact","historical-evidence","retain-in-place","docs/pilot-v1/production-read-only-verification.sql","Reusable or historical probe; link from history map."
"docs/pilot-v1/production-release-plan.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v1/production-release-plan.md","Preserve; remove active continuation language."
"docs/pilot-v2/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/README.md","Preserve; remove active continuation language."
"docs/pilot-v2/acceptance-criteria.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/acceptance-criteria.md","Preserve; remove active continuation language."
"docs/pilot-v2/data-compatibility-and-rollback-plan.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/data-compatibility-and-rollback-plan.md","Preserve; remove active continuation language."
"docs/pilot-v2/evidence/phase-1-local-verification-2026-08-17.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-1-local-verification-2026-08-17.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-1-staging-verification-2026-08-17.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-1-staging-verification-2026-08-17.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-2-correction-local-verification-2026-08-17.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-2-correction-local-verification-2026-08-17.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-2-local-verification-2026-08-17.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-2-local-verification-2026-08-17.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-2-staging-migration-2026-08-17.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-2-staging-migration-2026-08-17.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-3-local-verification-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-3-local-verification-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-3-staging-verification-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-3-staging-verification-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-4-local-verification-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-4-local-verification-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-4-staging-verification-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-4-staging-verification-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-5-local-integrated-safety-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-5-local-integrated-safety-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-5-staging-verification-2026-08-18.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-5-staging-verification-2026-08-18.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-6-preview-acceptance-and-readiness-2026-08-20.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-6-preview-acceptance-and-readiness-2026-08-20.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-7-production-attempt-2026-08-20.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-7-production-attempt-2026-08-20.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-7-production-compatibility-2026-08-20.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-7-production-compatibility-2026-08-20.md","Dated evidence; never rewrite."
"docs/pilot-v2/evidence/phase-7-production-preflight-2026-08-20.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v2/evidence/phase-7-production-preflight-2026-08-20.md","Dated evidence; never rewrite."
"docs/pilot-v2/implementation-plan.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/implementation-plan.md","Preserve; remove active continuation language."
"docs/pilot-v2/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/pilot-v2/phase-0-readiness.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/phase-0-readiness.md","Preserve; remove active continuation language."
"docs/pilot-v2/product-roadmap.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/product-roadmap.md","Preserve; remove active continuation language."
"docs/pilot-v2/production-release-plan-2026-08-20.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/production-release-plan-2026-08-20.md","Preserve; remove active continuation language."
"docs/pilot-v2/recommended-reading-revision.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/recommended-reading-revision.md","Preserve; remove active continuation language."
"docs/pilot-v2/template-interface-specification.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v2/template-interface-specification.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-1/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-1/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-1/evidence/phase-1-verification-2026-08-21.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-1/evidence/phase-1-verification-2026-08-21.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-2/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-2/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-2/evidence/phase-2-local-verification-2026-08-21.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-2/evidence/phase-2-local-verification-2026-08-21.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-3/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-3/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-3/evidence/phase-3-verification-2026-08-22.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-3/evidence/phase-3-verification-2026-08-22.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-4/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-4/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-4/evidence/phase-4-local-verification-2026-08-24.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-4/evidence/phase-4-local-verification-2026-08-24.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-5/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-5/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-5/evidence/phase-5-verification-2026-08-24.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-5/evidence/phase-5-verification-2026-08-24.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-6/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-6/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-6/evidence/phase-6-staging-product-acceptance-2026-08-24.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-6/evidence/phase-6-staging-product-acceptance-2026-08-24.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-6/manual-verification-checklist.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-6/manual-verification-checklist.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-7/README.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-7/README.md","Preserve; remove active continuation language."
"docs/pilot-v3/phase-7/evidence/phase-7-production-release-2026-08-25.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-7/evidence/phase-7-production-release-2026-08-25.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-7/evidence/worksheet-count-course-selection-production-release-2026-08-30.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-7/evidence/worksheet-count-course-selection-production-release-2026-08-30.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-7/evidence/worksheet-count-course-selection-rollback-rehearsal-2026-08-30.md","immutable-evidence","historical-evidence","retain-in-place","docs/pilot-v3/phase-7/evidence/worksheet-count-course-selection-rollback-rehearsal-2026-08-30.md","Dated evidence; never rewrite."
"docs/pilot-v3/phase-7/production-release-plan-worksheet-count-course-selection-2026-08-30.md","phase-or-pilot-history","historical","mark-historical","docs/pilot-v3/phase-7/production-release-plan-worksheet-count-course-selection-2026-08-30.md","Preserve; remove active continuation language."
"docs/question-bank.md","feature-reference","active","move-after-link-review","docs/features/question-bank/README.md","Preserve stable path until redirects/links are ready."
"docs/releases/2026-08-31-documentation-consolidation.md","release-record","active","retain","docs/releases/2026-08-31-documentation-consolidation.md","Documentation-only consolidation release record."
"docs/releases/2026-08-31-release-0-source-lineage-reconciliation.md","release-record","active","retain","docs/releases/2026-08-31-release-0-source-lineage-reconciliation.md","Source-only Release 0 reconciliation evidence; no runtime change."
"docs/releases/2026-09-01-release-1-course-selection-staging-acceptance.md","release-record","active","retain","docs/releases/2026-09-01-release-1-course-selection-staging-acceptance.md","Staging-only course-selection acceptance, rollback boundary, and zero-residue cleanup evidence."
"docs/releases/2026-09-01-release-1-course-selection-production.md","release-record","active","retain","docs/releases/2026-09-01-release-1-course-selection-production.md","Production application rollout, authenticated smoke checks, and rollback evidence."
"docs/setup/mac-setup.md","setup-guide","active","retain","docs/setup/mac-setup.md","Stable task-specific setup guide."
"docs/worksheet-pdf-conversion.md","feature-reference","active","move-after-link-review","docs/features/worksheets/pdf-conversion.md","Preserve stable path until redirects/links are ready."
"instruction/Ace_Club_LMS_MVP_Acceptance_Criteria.md","product-authority","active","retain","instruction/Ace_Club_LMS_MVP_Acceptance_Criteria.md","Binding Product Owner document."
"instruction/Ace_Club_LMS_Product_Roadmap.md","product-authority","active","retain","instruction/Ace_Club_LMS_Product_Roadmap.md","Binding Product Owner document."
"instruction/Phase_0.5_Setup_Recovery_Signoff.md","signed-product-history","signed-off","retain-history","instruction/Phase_0.5_Setup_Recovery_Signoff.md","Immutable signed checkpoint."
"instruction/README.md","authority-router","active","simplify","docs/PROJECT_MANUAL.md","Retain product authority order; replace continuation map."
